GDEKT;GDENR;GDENAME;VERSION;LINKDOC;LINKDOC_PRESENT;DOWNLOADED_PDF_VALID;MUNICIPALITY_EXISTS;LINK_VALID;METADATA_EQUAL;METADATA_ORIGINAL;METADATA_DOWNLOADEDFILE;HASH_EQUAL;CRAWLED_LINK;CRAWLED_LINK_SAME
ZH;69;Wallisellen;20240511;https://oerebdocs.zh.ch/getDoc?docid=757;True;True;True;True;True;creationDate: 2017-04-11 13:39:04, modifcationDate: 2019-02-19 07:49:05, author: selina.mathys, size: 10476108;creationDate: 2017-04-11 13:39:04, modifcationDate: 2019-02-19 07:49:05, author: selina.mathys, size: 10476108;True;https://oerebdocs.zh.ch/getDoc?docid=757;True
ZH;70;Wasterkingen;20240511;https://oerebdocs.zh.ch/getDoc?docid=11614;True;True;True;True;True;creationDate: 2015-09-20 14:27:39, modifcationDate: 2018-08-16 13:35:15, author: enrico.brandenberger, size: 354918;creationDate: 2015-09-20 14:27:39, modifcationDate: 2018-08-16 13:35:15, author: enrico.brandenberger, size: 354918;True;https://oerebdocs.zh.ch/getDoc?docid=11614;True
ZH;71;Wil (ZH);20240511;https://oerebdocs.zh.ch/getDoc?docid=11607;True;True;True;True;False;creationDate: 2017-07-06 12:23:40, modifcationDate: 2018-11-13 07:34:13, author: Katja Wickihalder, size: 271746;creationDate: 2024-05-31 14:44:23, modifcationDate: 2024-05-31 14:44:23, author: Katja Wickihalder, size: 285425;False;https://oerebdocs.zh.ch/getDoc?docid=11607;True
ZH;72;Winkel;20240511;https://oerebdocs.zh.ch/getDoc?docid=9111;True;True;True;True;True;creationDate: 2016-05-26 09:18:45, modifcationDate: 2019-10-22 14:13:45, author: None, size: 13209276;creationDate: 2016-05-26 09:18:45, modifcationDate: 2019-10-22 14:13:45, author: None, size: 13209276;True;https://oerebdocs.zh.ch/getDoc?docid=9111;True
ZH;81;Bachs;20240511;https://oerebdocs.zh.ch/getDoc?docid=10953;True;True;True;True;True;creationDate: 2016-12-13 13:11:13, modifcationDate: 2018-05-29 08:52:49, author: Suter von Knel AG, size: 790576;creationDate: 2016-12-13 13:11:13, modifcationDate: 2018-05-29 08:52:49, author: Suter von Knel AG, size: 790576;True;https://oerebdocs.zh.ch/getDoc?docid=10953;True
ZH;82;Boppelsen;20240511;https://oerebdocs.zh.ch/getDoc?docid=5058;True;True;True;True;True;creationDate: 2013-09-16 06:23:30, modifcationDate: 2016-01-20 14:29:15, author: FB, size: 190845;creationDate: 2013-09-16 06:23:30, modifcationDate: 2016-01-20 14:29:15, author: FB, size: 190845;True;https://oerebdocs.zh.ch/getDoc?docid=5058;True
ZH;83;Buchs (ZH);20240511;https://oerebdocs.zh.ch/getDoc?docid=8897;True;True;True;True;True;creationDate: 2021-11-01 07:14:52, modifcationDate: 2021-11-01 07:14:52, author: Simon Wegmann, size: 1242666;creationDate: 2021-11-01 07:14:52, modifcationDate: 2021-11-01 07:14:52, author: Simon Wegmann, size: 1242666;True;https://oerebdocs.zh.ch/getDoc?docid=8897;True
ZH;84;Dällikon;20240511;https://oerebdocs.zh.ch/getDoc?docid=6865;True;True;True;True;True;creationDate: 2010-07-12 12:43:47, modifcationDate: 2010-07-12 12:43:47, author: Gemeinde Dllikon, size: 82312;creationDate: 2010-07-12 12:43:47, modifcationDate: 2010-07-12 12:43:47, author: Gemeinde Dllikon, size: 82312;True;https://oerebdocs.zh.ch/getDoc?docid=6865;True
ZH;85;Dänikon;20240511;https://epublikation.ch/api/v1/publications/40d46b2d-a7c3-43ed-9393-13987914df99/attachments/471553f5-6d8a-49f2-b24b-62146b7a1779?downloadType=FILE&dispositionType=INLINE;True;True;True;True;True;creationDate: 2023-02-06 06:32:23, modifcationDate: 2023-02-06 07:07:40, author: Lukas Kalberer, size: 441025;creationDate: 2023-02-06 06:32:23, modifcationDate: 2023-02-06 07:07:40, author: Lukas Kalberer, size: 441025;True;;False
ZH;86;Dielsdorf;20240511;https://oerebdocs.zh.ch/getDoc?docid=6832;True;True;True;True;True;creationDate: 2018-07-13 06:36:22, modifcationDate: 2018-07-13 11:21:46, author: None, size: 1818618;creationDate: 2018-07-13 06:36:22, modifcationDate: 2018-07-13 11:21:46, author: None, size: 1818618;True;https://oerebdocs.zh.ch/getDoc?docid=6832;True
ZH;87;Hüttikon;20240511;https://oerebdocs.zh.ch/getDoc?docid=8718;True;True;True;True;True;creationDate: 2023-09-06 07:11:00, modifcationDate: 2023-09-06 07:11:00, author: Kchli Lukas, size: 153588;creationDate: 2023-09-06 07:11:00, modifcationDate: 2023-09-06 07:11:00, author: Kchli Lukas, size: 153588;True;https://oerebdocs.zh.ch/getDoc?docid=8718;True
ZH;88;Neerach;20240511;https://oerebdocs.zh.ch/getDoc?docid=10957;True;True;True;True;True;creationDate: 2008-07-21 14:19:16, modifcationDate: 2018-05-29 07:41:45, author: None, size: 2399798;creationDate: 2008-07-21 14:19:16, modifcationDate: 2018-05-29 07:41:45, author: None, size: 2399798;True;https://oerebdocs.zh.ch/getDoc?docid=10957;True
ZH;89;Niederglatt;20240511;https://oerebdocs.zh.ch/getDoc?docid=6831;True;True;True;True;True;creationDate: 2017-01-26 13:45:06, modifcationDate: None, author: None, size: 2438577;creationDate: 2017-01-26 13:45:06, modifcationDate: None, author: None, size: 2438577;True;https://oerebdocs.zh.ch/getDoc?docid=6831;True
ZH;90;Niederhasli;20240511;https://oerebdocs.zh.ch/getDoc?docid=8719;True;True;True;True;True;creationDate: 2022-01-03 16:30:51, modifcationDate: 2022-01-03 16:34:14, author: mh, size: 1737241;creationDate: 2022-01-03 16:30:51, modifcationDate: 2022-01-03 16:34:14, author: mh, size: 1737241;True;https://oerebdocs.zh.ch/getDoc?docid=8719;True
ZH;91;Niederweningen;20240511;https://oerebdocs.zh.ch/getDoc?docid=10956;True;True;True;True;True;creationDate: 2015-04-07 16:59:14, modifcationDate: 2018-05-29 08:46:59, author: Gabriele Horvath, size: 526354;creationDate: 2015-04-07 16:59:14, modifcationDate: 2018-05-29 08:46:59, author: Gabriele Horvath, size: 526354;True;https://oerebdocs.zh.ch/getDoc?docid=10956;True
ZH;92;Oberglatt;20240511;https://oerebdocs.zh.ch/getDoc?docid=6866;True;True;True;True;True;creationDate: 2017-07-04 13:19:45, modifcationDate: 2017-07-04 13:19:45, author: fw, size: 75194;creationDate: 2017-07-04 13:19:45, modifcationDate: 2017-07-04 13:19:45, author: fw, size: 75194;True;https://oerebdocs.zh.ch/getDoc?docid=6866;True
ZH;93;Oberweningen;20240511;https://oerebdocs.zh.ch/getDoc?docid=9944;True;True;True;True;True;creationDate: 2015-06-26 10:04:52, modifcationDate: 2018-02-15 09:48:46, author: Tinus Trottmann, size: 245762;creationDate: 2015-06-26 10:04:52, modifcationDate: 2018-02-15 09:48:46, author: Tinus Trottmann, size: 245762;True;https://oerebdocs.zh.ch/getDoc?docid=9944;True
ZH;94;Otelfingen;20240511;https://epublikation.ch/api/v1/publications/d199381d-c455-4418-9265-572f05171072/attachments/53849e1f-5e97-4090-800b-b9a6fbda77e6?downloadType=FILE&dispositionType=INLINE;True;True;True;True;True;creationDate: 2022-08-10 06:23:47, modifcationDate: 2022-08-10 06:33:29, author: jg, size: 528534;creationDate: 2022-08-10 06:23:47, modifcationDate: 2022-08-10 06:33:29, author: jg, size: 528534;True;;False
ZH;95;Regensberg;20240511;https://oerebdocs.zh.ch/getDoc?docid=6835;True;True;True;True;True;creationDate: 2006-06-01 14:52:57, modifcationDate: None, author: None, size: 571127;creationDate: 2006-06-01 14:52:57, modifcationDate: None, author: None, size: 571127;True;https://oerebdocs.zh.ch/getDoc?docid=6835;True
ZH;96;Regensdorf;20240511;https://oerebdocs.zh.ch/getDoc?docid=950;True;True;True;True;False;creationDate: 2022-06-29 13:22:36, modifcationDate: 2022-06-29 13:22:37, author: Stephan Indermhle, size: 445995;creationDate: 2024-04-19 07:12:07, modifcationDate: 2024-04-19 07:12:07, author: None, size: 615751;False;https://oerebdocs.zh.ch/getDoc?docid=950;True
