GDEKT;GDENR;GDENAME;Version;Link_Dok_RIS;Link_Dok_Present;downloadedPdfDocumentValid;MunicipalityExists;LinkValid;MetaDataDateEqual;MetaDataOriginal;MetaDataDownloadedFile;HashEqual;CrawledLink;CrawledLinkSameAsRISLink;;;
ZH;138;Richterswil;;https://oerebdocs.zh.ch/getDoc?docid=5515;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=5515;True;;;
ZH;139;Rüschlikon;;https://oerebdocs.zh.ch/getDoc?docid=5483;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=5483;True;;;
ZH;141;Thalwil;;https://oerebdocs.zh.ch/getDoc?docid=1296;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=1296;True;;;
ZH;151;Erlenbach (ZH);;https://oerebdocs.zh.ch/getDoc?docid=7864;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=7864;True;;;
ZH;152;Herrliberg;;https://oerebdocs.zh.ch/getDoc?docid=6112;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=6112;True;;;
ZH;153;Hombrechtikon;;https://www.hombrechtikon.ch/public/upload/assets/3190/220614_Anpassung%20BZO.pdf?fp=1;True;True;True;True;False;None;None;False;;False;;;
ZH;154;Küsnacht (ZH);;https://oerebdocs.zh.ch/getDoc?docid=1468;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=1468;True;;;
ZH;155;Männedorf;;https://oerebdocs.zh.ch/getDoc?docid=5391;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=5391;True;;;
ZH;156;Meilen;;https://oerebdocs.zh.ch/getDoc?docid=5986;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=5986;True;;;
ZH;157;Oetwil am See;;https://oerebdocs.zh.ch/getDoc?docid=7861;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=7861;True;;;
